Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Kraków, Lesser Poland;Specializations:AI/ML, Backend;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Full-stack, SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Architecture;specjalista (Mid / Regular), starszy specjalista (Senior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Niepo³omice, Lesser Poland;;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Agile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:DevOps;expert;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:AI/ML;expert;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Architecture, Big Data / Data Science, DevOps;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Robakowo (pow. poznañski), wielkopolskie;Specjalizacje:Full-stack;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Helpdesk, IT admin;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Business analytics;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:Agile, Project Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:SAP&ERP;expert;contract of employment;full-time;hybrid work
Warszawa, Masovian;;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Mobile;specialist (Mid / Regular);B2B contract;full-time;home office work, hybrid work
Gdañsk, pomorskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:SAP&ERP;senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;team manager;contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:AI/ML, Backend;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:UX/UI;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Full-stack;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior), expert;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;home office work, hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna
Wroc³aw, dolnoœl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;;praktykant / sta¿ysta;umowa o sta¿ / praktyki;pe³ny etat;praca stacjonarna
Gdañsk, pomorskie;Specjalizacje:Full-stack;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
